"fraud_id","account_id","transaction_id","fraud_type","fraud_details","detection_date"
1,156,17,"Dynamic Large Transaction Fraud","Transaction amount: $46458.22 exceeds 44481.55 (threshold)","2024-08-24 00:03:23"
2,18,96,"Dynamic Large Transaction Fraud","Transaction amount: $43768.42 exceeds 42846.61 (threshold)","2024-08-24 00:03:23"
3,17,110,"Dynamic Large Transaction Fraud","Transaction amount: $45323.76 exceeds 39788.39 (threshold)","2024-08-24 00:03:23"
4,178,122,"Dynamic Large Transaction Fraud","Transaction amount: $48811.86 exceeds 45962.46 (threshold)","2024-08-24 00:03:23"
5,78,145,"Dynamic Large Transaction Fraud","Transaction amount: $46947.99 exceeds 45362.94 (threshold)","2024-08-24 00:03:23"
6,177,152,"Dynamic Large Transaction Fraud","Transaction amount: $49397.73 exceeds 42312.21 (threshold)","2024-08-24 00:03:23"
7,62,155,"Dynamic Large Transaction Fraud","Transaction amount: $46332.24 exceeds 37088.17 (threshold)","2024-08-24 00:03:23"
8,78,165,"Dynamic Large Transaction Fraud","Transaction amount: $49920.79 exceeds 45362.94 (threshold)","2024-08-24 00:03:23"
9,167,257,"Dynamic Large Transaction Fraud","Transaction amount: $40371.34 exceeds 37331.48 (threshold)","2024-08-24 00:03:23"
10,88,297,"Dynamic Large Transaction Fraud","Transaction amount: $44986.18 exceeds 41791.93 (threshold)","2024-08-24 00:03:23"
11,130,354,"Dynamic Large Transaction Fraud","Transaction amount: $47419.44 exceeds 40298.24 (threshold)","2024-08-24 00:03:23"
12,142,428,"Dynamic Large Transaction Fraud","Transaction amount: $45166.44 exceeds 40247.25 (threshold)","2024-08-24 00:03:23"
13,14,483,"Dynamic Large Transaction Fraud","Transaction amount: $47878.54 exceeds 41849.83 (threshold)","2024-08-24 00:03:23"
14,198,551,"Dynamic Large Transaction Fraud","Transaction amount: $49683.22 exceeds 49224.83 (threshold)","2024-08-24 00:03:23"
15,189,557,"Dynamic Large Transaction Fraud","Transaction amount: $49889.60 exceeds 45045.84 (threshold)","2024-08-24 00:03:23"
16,133,580,"Dynamic Large Transaction Fraud","Transaction amount: $44282.65 exceeds 41017.43 (threshold)","2024-08-24 00:03:23"
17,167,635,"Dynamic Large Transaction Fraud","Transaction amount: $49265.50 exceeds 37331.48 (threshold)","2024-08-24 00:03:23"
18,128,657,"Dynamic Large Transaction Fraud","Transaction amount: $47722.11 exceeds 46940.99 (threshold)","2024-08-24 00:03:23"
19,154,684,"Dynamic Large Transaction Fraud","Transaction amount: $49788.34 exceeds 44321.09 (threshold)","2024-08-24 00:03:23"
20,92,692,"Dynamic Large Transaction Fraud","Transaction amount: $49397.26 exceeds 47193.26 (threshold)","2024-08-24 00:03:23"
21,133,725,"Dynamic Large Transaction Fraud","Transaction amount: $46042.61 exceeds 41017.43 (threshold)","2024-08-24 00:03:23"
22,154,732,"Dynamic Large Transaction Fraud","Transaction amount: $44829.46 exceeds 44321.09 (threshold)","2024-08-24 00:03:23"
23,134,768,"Dynamic Large Transaction Fraud","Transaction amount: $46554.14 exceeds 42913.30 (threshold)","2024-08-24 00:03:23"
24,18,775,"Dynamic Large Transaction Fraud","Transaction amount: $48812.77 exceeds 42846.61 (threshold)","2024-08-24 00:03:23"
25,134,776,"Dynamic Large Transaction Fraud","Transaction amount: $45369.85 exceeds 42913.30 (threshold)","2024-08-24 00:03:23"
26,101,789,"Dynamic Large Transaction Fraud","Transaction amount: $44766.24 exceeds 44226.89 (threshold)","2024-08-24 00:03:23"
27,164,815,"Dynamic Large Transaction Fraud","Transaction amount: $45836.02 exceeds 43260.93 (threshold)","2024-08-24 00:03:23"
28,142,856,"Dynamic Large Transaction Fraud","Transaction amount: $43633.11 exceeds 40247.25 (threshold)","2024-08-24 00:03:23"
29,169,905,"Dynamic Large Transaction Fraud","Transaction amount: $49203.65 exceeds 45698.74 (threshold)","2024-08-24 00:03:23"
30,143,967,"Dynamic Large Transaction Fraud","Transaction amount: $48144.41 exceeds 44519.25 (threshold)","2024-08-24 00:03:23"
31,98,1046,"Dynamic Large Transaction Fraud","Transaction amount: $45565.10 exceeds 44700.60 (threshold)","2024-08-24 00:03:23"
32,51,1058,"Dynamic Large Transaction Fraud","Transaction amount: $46965.96 exceeds 41982.13 (threshold)","2024-08-24 00:03:23"
33,60,1059,"Dynamic Large Transaction Fraud","Transaction amount: $49924.82 exceeds 47321.02 (threshold)","2024-08-24 00:03:23"
34,98,1060,"Dynamic Large Transaction Fraud","Transaction amount: $46348.01 exceeds 44700.60 (threshold)","2024-08-24 00:03:23"
35,88,1083,"Dynamic Large Transaction Fraud","Transaction amount: $43693.26 exceeds 41791.93 (threshold)","2024-08-24 00:03:23"
36,194,1188,"Dynamic Large Transaction Fraud","Transaction amount: $49213.33 exceeds 46590.90 (threshold)","2024-08-24 00:03:23"
37,153,1207,"Dynamic Large Transaction Fraud","Transaction amount: $47178.06 exceeds 46011.46 (threshold)","2024-08-24 00:03:23"
38,194,1229,"Dynamic Large Transaction Fraud","Transaction amount: $48088.15 exceeds 46590.90 (threshold)","2024-08-24 00:03:23"
39,54,1322,"Dynamic Large Transaction Fraud","Transaction amount: $49619.97 exceeds 48598.65 (threshold)","2024-08-24 00:03:23"
40,92,1323,"Dynamic Large Transaction Fraud","Transaction amount: $48888.97 exceeds 47193.26 (threshold)","2024-08-24 00:03:23"
41,173,1400,"Dynamic Large Transaction Fraud","Transaction amount: $49168.48 exceeds 48632.89 (threshold)","2024-08-24 00:03:23"
42,54,1451,"Dynamic Large Transaction Fraud","Transaction amount: $48804.59 exceeds 48598.65 (threshold)","2024-08-24 00:03:23"
43,154,1475,"Dynamic Large Transaction Fraud","Transaction amount: $45672.10 exceeds 44321.09 (threshold)","2024-08-24 00:03:23"
44,199,1485,"Dynamic Large Transaction Fraud","Transaction amount: $48082.92 exceeds 46228.71 (threshold)","2024-08-24 00:03:23"
45,91,1545,"Dynamic Large Transaction Fraud","Transaction amount: $40698.57 exceeds 40633.50 (threshold)","2024-08-24 00:03:23"
46,14,1586,"Dynamic Large Transaction Fraud","Transaction amount: $49382.50 exceeds 41849.83 (threshold)","2024-08-24 00:03:23"
47,128,1611,"Dynamic Large Transaction Fraud","Transaction amount: $49535.61 exceeds 46940.99 (threshold)","2024-08-24 00:03:23"
48,145,1621,"Dynamic Large Transaction Fraud","Transaction amount: $47466.09 exceeds 42795.70 (threshold)","2024-08-24 00:03:23"
49,127,1638,"Dynamic Large Transaction Fraud","Transaction amount: $48685.34 exceeds 47472.42 (threshold)","2024-08-24 00:03:23"
50,62,1710,"Dynamic Large Transaction Fraud","Transaction amount: $44671.76 exceeds 37088.17 (threshold)","2024-08-24 00:03:23"
51,108,1712,"Dynamic Large Transaction Fraud","Transaction amount: $49572.40 exceeds 46229.10 (threshold)","2024-08-24 00:03:23"
52,129,1785,"Dynamic Large Transaction Fraud","Transaction amount: $46934.28 exceeds 44710.39 (threshold)","2024-08-24 00:03:23"
53,69,1810,"Dynamic Large Transaction Fraud","Transaction amount: $44225.32 exceeds 38816.67 (threshold)","2024-08-24 00:03:23"
54,156,1862,"Dynamic Large Transaction Fraud","Transaction amount: $45099.57 exceeds 44481.55 (threshold)","2024-08-24 00:03:23"
55,43,1914,"Dynamic Large Transaction Fraud","Transaction amount: $48383.98 exceeds 47867.19 (threshold)","2024-08-24 00:03:23"
56,70,1942,"Dynamic Large Transaction Fraud","Transaction amount: $49153.19 exceeds 48817.32 (threshold)","2024-08-24 00:03:23"
57,91,1953,"Dynamic Large Transaction Fraud","Transaction amount: $43622.42 exceeds 40633.50 (threshold)","2024-08-24 00:03:23"
58,62,1970,"Dynamic Large Transaction Fraud","Transaction amount: $45731.09 exceeds 37088.17 (threshold)","2024-08-24 00:03:23"
59,22,1981,"Dynamic Large Transaction Fraud","Transaction amount: $39510.10 exceeds 39465.45 (threshold)","2024-08-24 00:03:23"
60,17,2014,"Dynamic Large Transaction Fraud","Transaction amount: $47911.19 exceeds 39788.39 (threshold)","2024-08-24 00:03:23"
61,125,2076,"Dynamic Large Transaction Fraud","Transaction amount: $48502.79 exceeds 45793.97 (threshold)","2024-08-24 00:03:23"
62,62,2081,"Dynamic Large Transaction Fraud","Transaction amount: $49091.66 exceeds 37088.17 (threshold)","2024-08-24 00:03:23"
63,62,2108,"Dynamic Large Transaction Fraud","Transaction amount: $45135.02 exceeds 37088.17 (threshold)","2024-08-24 00:03:23"
64,159,2136,"Dynamic Large Transaction Fraud","Transaction amount: $47588.29 exceeds 42057.60 (threshold)","2024-08-24 00:03:23"
65,187,2205,"Dynamic Large Transaction Fraud","Transaction amount: $48654.55 exceeds 42912.86 (threshold)","2024-08-24 00:03:23"
66,7,2228,"Dynamic Large Transaction Fraud","Transaction amount: $49412.11 exceeds 48519.89 (threshold)","2024-08-24 00:03:23"
67,69,2252,"Dynamic Large Transaction Fraud","Transaction amount: $43923.77 exceeds 38816.67 (threshold)","2024-08-24 00:03:23"
68,75,2304,"Dynamic Large Transaction Fraud","Transaction amount: $45118.23 exceeds 41700.33 (threshold)","2024-08-24 00:03:23"
69,26,2340,"Dynamic Large Transaction Fraud","Transaction amount: $49503.86 exceeds 46602.68 (threshold)","2024-08-24 00:03:23"
70,161,2396,"Dynamic Large Transaction Fraud","Transaction amount: $49872.98 exceeds 42403.00 (threshold)","2024-08-24 00:03:23"
71,193,2488,"Dynamic Large Transaction Fraud","Transaction amount: $48526.25 exceeds 46542.05 (threshold)","2024-08-24 00:03:23"
72,26,2505,"Dynamic Large Transaction Fraud","Transaction amount: $48183.24 exceeds 46602.68 (threshold)","2024-08-24 00:03:23"
73,78,2510,"Dynamic Large Transaction Fraud","Transaction amount: $48417.49 exceeds 45362.94 (threshold)","2024-08-24 00:03:23"
74,108,2544,"Dynamic Large Transaction Fraud","Transaction amount: $49134.91 exceeds 46229.10 (threshold)","2024-08-24 00:03:23"
75,143,2605,"Dynamic Large Transaction Fraud","Transaction amount: $44929.00 exceeds 44519.25 (threshold)","2024-08-24 00:03:23"
76,72,2611,"Dynamic Large Transaction Fraud","Transaction amount: $49198.96 exceeds 42563.20 (threshold)","2024-08-24 00:03:23"
77,15,2715,"Dynamic Large Transaction Fraud","Transaction amount: $48872.82 exceeds 48403.66 (threshold)","2024-08-24 00:03:23"
78,115,2733,"Dynamic Large Transaction Fraud","Transaction amount: $39210.98 exceeds 37678.40 (threshold)","2024-08-24 00:03:23"
79,189,2815,"Dynamic Large Transaction Fraud","Transaction amount: $49504.94 exceeds 45045.84 (threshold)","2024-08-24 00:03:23"
80,22,2819,"Dynamic Large Transaction Fraud","Transaction amount: $44801.82 exceeds 39465.45 (threshold)","2024-08-24 00:03:23"
81,171,2827,"Dynamic Large Transaction Fraud","Transaction amount: $48988.04 exceeds 48390.59 (threshold)","2024-08-24 00:03:23"
