transaction_id,account_id,merchant_id,amount,transaction_date,transaction_time
1,127,5,44407.49,2024-06-02,22:23:36
2,187,21,4147.5,2016-04-27,07:40:55
3,102,34,46007.0,2020-01-17,11:19:53
4,10,37,44157.24,2024-03-08,06:19:24
5,70,16,6629.77,2022-08-06,21:07:16
6,168,4,16056.12,2022-12-31,08:53:31
7,98,36,15457.51,2023-04-21,02:16:25
8,121,37,40091.33,2023-09-21,22:30:30
9,190,42,14491.56,2024-07-06,13:51:58
10,146,30,28968.39,2007-03-18,09:43:10
11,50,1,35596.35,2014-08-24,06:58:02
12,52,27,45682.51,2024-08-15,06:45:03
13,179,28,34669.05,2022-04-26,16:55:13
14,134,45,9504.93,2020-11-26,04:40:06
15,200,22,36010.3,2024-01-05,05:08:27
16,182,36,30332.7,2023-08-17,17:00:50
17,156,18,46458.22,2022-07-05,05:56:28
18,60,12,26886.84,2023-03-06,19:00:07
19,135,46,32403.48,2022-10-22,06:18:17
20,23,15,5617.96,2020-09-11,16:55:30
21,153,46,23462.35,2021-04-26,06:54:51
22,171,24,15839.8,2013-09-13,23:14:41
23,12,23,26128.02,2024-03-13,13:47:14
24,140,12,48542.83,2020-07-15,13:10:38
25,65,22,16028.78,2010-11-05,23:26:21
26,121,28,2312.21,2022-12-04,16:12:52
27,126,25,48766.39,2020-01-03,04:18:00
28,172,5,5394.74,2015-03-10,05:21:37
29,186,8,21487.83,2021-12-18,11:00:33
30,81,46,29026.03,2013-02-09,14:15:10
31,116,48,35362.83,2023-01-07,09:26:11
32,6,47,47936.07,2022-02-13,06:18:18
33,193,17,12341.66,2024-04-30,23:04:38
34,21,35,354.59,2009-09-18,01:51:53
35,115,22,20764.37,2022-01-31,17:15:48
36,87,1,43382.92,2022-08-14,11:47:06
37,85,29,47339.18,2016-07-27,20:59:28
38,34,1,18634.88,2018-10-26,17:12:03
39,126,12,49301.33,2013-03-16,07:13:14
40,147,19,12910.15,2014-12-24,21:34:18
41,60,1,31630.57,2024-02-05,10:29:31
42,91,4,16475.6,2020-09-27,15:38:50
43,132,22,49415.79,2017-04-08,07:38:29
44,128,30,20828.1,2018-09-04,13:55:37
45,18,24,39497.4,2015-10-28,04:15:55
46,29,28,2053.71,2020-02-04,02:55:53
47,27,48,44044.44,2018-01-15,17:45:40
48,87,2,26659.19,2016-03-01,21:10:40
49,160,28,43707.9,2021-11-26,02:35:26
50,36,34,30014.15,2016-05-17,00:41:57
51,100,21,8667.36,2023-02-21,01:24:39
52,177,49,16530.39,2024-07-20,18:19:53
53,68,41,28004.94,2022-02-17,10:43:13
54,176,21,7813.62,2021-05-16,21:54:35
55,108,8,17055.41,2017-07-17,22:25:24
56,163,37,11909.56,2012-11-16,15:29:50
57,144,43,13901.87,2021-06-14,01:51:05
58,138,45,47931.2,2023-06-20,19:17:09
59,168,39,2824.94,2022-07-09,12:04:39
60,62,17,3785.74,2020-08-24,18:24:01
61,179,6,27905.5,2014-09-15,02:59:17
62,72,12,22430.91,2022-03-28,00:43:32
63,66,41,7328.79,2014-02-08,21:42:27
64,153,40,13772.39,2024-04-14,00:35:34
65,94,45,42688.53,2024-04-28,09:59:17
66,1,35,1951.94,2022-10-11,01:44:14
67,111,4,47658.64,2017-05-01,11:04:40
68,197,27,5045.08,2023-06-20,01:40:06
